,metric,partition,value,iteration
1,coverage_80pct,train,0.9271028037383178,30
2,coverage_80pct,valid,0.8656716417910447,30
3,diameter_80pct,test,1.4819199121883637,30
4,diameter_80pct,train,1.4676114123625674,30
5,diameter_80pct,valid,1.5065510891475162,30
6,mape,test,0.3188397288290027,30
7,mape,train,0.2506386786128018,30
8,mape,valid,0.3163255785520609,30
9,confidence_error,test,0.3308767637862334,30
10,confidence_error,train,0.40315513444164613,30
11,confidence_error,valid,0.30920346231358825,30
12,elbo,train,10242.162496566772,30
0,coverage_80pct,test,0.8731343283582089,31
1,coverage_80pct,train,0.9149532710280374,31
2,coverage_80pct,valid,0.835820895522388,31
3,diameter_80pct,test,1.399020202861166,31
4,diameter_80pct,train,1.4016322623068012,31
5,diameter_80pct,valid,1.4203676439838304,31
6,mape,test,0.3582180836913825,31
7,mape,train,0.29275768171713873,31
8,mape,valid,0.3628540309606665,31
9,confidence_error,test,0.2114085944289382,31
10,confidence_error,train,0.29271728817042747,31
11,confidence_error,valid,0.15850438904187938,31
12,elbo,train,10214.299955368042,31
0,coverage_80pct,test,0.8805970149253731,32
1,coverage_80pct,train,0.9130841121495327,32
2,coverage_80pct,valid,0.8582089552238806,32
3,diameter_80pct,test,1.430213342618333,32
4,diameter_80pct,train,1.4125618066639571,32
5,diameter_80pct,valid,1.423340808967412,32
6,mape,test,0.3884735802000693,32
7,mape,train,0.3204837141943237,32
8,mape,valid,0.38863084942722786,32
9,confidence_error,test,0.20552835587162063,32
10,confidence_error,train,0.2761729579030545,32
11,confidence_error,valid,0.15624761503602358,32
12,elbo,train,10236.960735321045,32
0,coverage_80pct,test,0.8955223880597015,33
1,coverage_80pct,train,0.9261682242990654,33
2,coverage_80pct,valid,0.8731343283582089,33
3,diameter_80pct,test,1.6409492049832703,33
4,diameter_80pct,train,1.6099006345800688,33
5,diameter_80pct,valid,1.6440302554530248,33
6,mape,test,0.358062229972402,33
7,mape,train,0.287156937642939,33
8,mape,valid,0.35548395860351445,33
9,confidence_error,test,0.3303800437131295,33
10,confidence_error,train,0.40073770167414674,33
11,confidence_error,valid,0.2775884760205635,33
12,elbo,train,10272.12790441513,33
0,coverage_80pct,test,0.8656716417910447,34
1,coverage_80pct,train,0.9112149532710281,34
2,coverage_80pct,valid,0.8507462686567164,34
3,diameter_80pct,test,1.5231380838863862,34
4,diameter_80pct,train,1.5077480198804458,34
5,diameter_80pct,valid,1.5377274814343882,34
6,mape,test,0.3776217249826054,34
7,mape,train,0.3098366078451644,34
8,mape,valid,0.383821479315853,34
9,confidence_error,test,0.3009337238837052,34
10,confidence_error,train,0.3703889174059096,34
11,confidence_error,valid,0.24327831214605858,34
12,elbo,train,10352.93040895462,34
0,coverage_80pct,test,0.8805970149253731,35
1,coverage_80pct,train,0.922429906542056,35
2,coverage_80pct,valid,0.8582089552238806,35
3,diameter_80pct,test,1.4535016830546865,35
4,diameter_80pct,train,1.4382392175394123,35
5,diameter_80pct,valid,1.4665470092212767,35
6,mape,test,0.3073459241840606,35
7,mape,train,0.242718603856939,35
8,mape,valid,0.3014153259124699,35
9,confidence_error,test,0.32266902696015964,35
10,confidence_error,train,0.4062578237416652,35
11,confidence_error,valid,0.2921800081558056,35
12,elbo,train,10202.135999679565,35
0,coverage_80pct,test,0.8880597014925373,36
1,coverage_80pct,train,0.9271028037383178,36
2,coverage_80pct,valid,0.8731343283582089,36
3,diameter_80pct,test,1.5366346143559075,36
4,diameter_80pct,train,1.505773687530912,36
5,diameter_80pct,valid,1.515541431039266,36
6,mape,test,0.3599753072331708,36
7,mape,train,0.2931190635708562,36
8,mape,valid,0.36119879256289394,36
9,confidence_error,test,0.3267321606793188,36
10,confidence_error,train,0.40387846078152795,36
11,confidence_error,valid,0.2990605235380779,36
12,elbo,train,10238.950046539307,36
0,coverage_80pct,test,0.8880597014925373,37
