,metric,partition,value,iteration
16,confidence_error,train,0.32956619681051885,29
17,confidence_error,valid,0.2456638167181585,29
18,elbo,train,10269.694752693176,29
0,MAPE,test,0.38057571763447806,30
1,MAPE,train,0.32350482195640295,30
2,MAPE,valid,0.36388617358684017,30
3,MAE,test,3177.7025815823226,30
4,MAE,train,2691.674839859681,30
5,MAE,valid,3619.331788369868,30
6,emp_coverage_80pct,test,0.917910447761194,30
7,emp_coverage_80pct,train,0.9289719626168225,30
8,emp_coverage_80pct,valid,0.8582089552238806,30
9,perc_lenght_80pct,test,1.5854094551355722,30
10,perc_lenght_80pct,train,1.5088401855485583,30
11,perc_lenght_80pct,valid,1.511463232535788,30
12,abs_lenght_80pct,test,14153.959251158438,30
13,abs_lenght_80pct,train,14124.815464098192,30
14,abs_lenght_80pct,valid,14235.712036492341,30
15,confidence_error,test,0.2837582745995138,30
16,confidence_error,train,0.345955248879945,30
17,confidence_error,valid,0.2769748127583656,30
18,elbo,train,10246.281331062317,30
0,MAPE,test,0.3699647323712763,31
1,MAPE,train,0.3171401609200465,31
2,MAPE,valid,0.3583582359328654,31
3,MAE,test,3163.2183709159285,31
4,MAE,train,2655.879060370415,31
5,MAE,valid,3666.8282394222233,31
6,emp_coverage_80pct,test,0.9029850746268657,31
7,emp_coverage_80pct,train,0.9214953271028037,31
8,emp_coverage_80pct,valid,0.8432835820895522,31
9,perc_lenght_80pct,test,1.5851688234309425,31
10,perc_lenght_80pct,train,1.4807017751435227,31
11,perc_lenght_80pct,valid,1.5055700057658206,31
12,abs_lenght_80pct,test,13798.410239784871,31
13,abs_lenght_80pct,train,13591.102692907292,31
14,abs_lenght_80pct,valid,13962.589297729905,31
15,confidence_error,test,0.2834542843466963,31
16,confidence_error,train,0.3139385408883372,31
17,confidence_error,valid,0.23742060609074567,31
18,elbo,train,10202.803467273712,31
0,MAPE,test,0.3607822269668543,32
1,MAPE,train,0.3153700000023708,32
2,MAPE,valid,0.35320701598777227,32
3,MAE,test,3138.047036030784,32
